inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
496,2:bad,2:bad,,1,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4
497,1:good,1:good,,1,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10
498,2:bad,2:bad,,0.993,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4
499,1:good,1:good,,1,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4
500,1:good,1:good,,0.974,7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1
501,2:bad,2:bad,,0.993,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9
502,1:good,1:good,,0.938,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5
503,1:good,1:good,,0.974,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5
504,1:good,1:good,,0.9,7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9
505,2:bad,2:bad,,0.993,6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4
506,2:bad,2:bad,,0.993,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6
507,2:bad,2:bad,,1,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6
508,2:bad,2:bad,,1,7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1
509,1:good,1:good,,0.938,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10
510,1:good,1:good,,0.951,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7
511,1:good,1:good,,1,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9
512,1:good,1:good,,0.938,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10
513,1:good,1:good,,0.951,6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2
514,1:good,1:good,,0.974,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11
515,1:good,1:good,,0.974,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11
516,1:good,1:good,,0.962,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11
517,2:bad,2:bad,,1,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4
518,1:good,1:good,,0.951,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2
519,1:good,1:good,,0.962,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11
520,1:good,1:good,,1,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11
521,2:bad,2:bad,,0.993,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9
522,1:good,1:good,,0.938,6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8
523,2:bad,2:bad,,0.969,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1
524,2:bad,2:bad,,0.875,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3
525,1:good,1:good,,0.951,7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2
526,2:bad,2:bad,,0.833,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8
527,2:bad,2:bad,,0.833,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8
528,2:bad,2:bad,,0.993,6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9
529,2:bad,2:bad,,0.993,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9
530,2:bad,2:bad,,0.993,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9
531,2:bad,2:bad,,0.993,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2
532,2:bad,2:bad,,0.993,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5
533,2:bad,2:bad,,0.993,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2
534,1:good,1:good,,0.971,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3
535,1:good,2:bad,+,0.882,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2
536,1:good,2:bad,+,0.933,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4
537,1:good,1:good,,1,7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7
538,2:bad,2:bad,,0.993,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8
539,2:bad,2:bad,,0.993,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3
540,1:good,1:good,,1,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5
541,2:bad,2:bad,,1,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10
542,2:bad,2:bad,,0.97,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9
543,1:good,1:good,,1,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9
544,2:bad,2:bad,,0.993,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9
545,2:bad,2:bad,,0.993,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6
546,2:bad,2:bad,,0.993,6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9
547,2:bad,2:bad,,0.993,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9
548,2:bad,2:bad,,0.969,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4
549,2:bad,2:bad,,0.97,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9
550,1:good,1:good,,0.8,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6
551,2:bad,2:bad,,0.993,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7
552,1:good,1:good,,1,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10
553,1:good,1:good,,0.951,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2
554,1:good,1:good,,0.938,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7
555,1:good,1:good,,1,6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2
556,2:bad,2:bad,,0.97,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6
557,2:bad,2:bad,,1,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10
558,2:bad,2:bad,,0.993,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5
559,2:bad,2:bad,,1,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5
560,2:bad,2:bad,,0.993,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5
561,2:bad,2:bad,,1,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10
562,2:bad,2:bad,,0.993,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5
563,2:bad,2:bad,,0.993,7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5
564,1:good,1:good,,0.971,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2
565,1:good,1:good,,0.971,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2
566,1:good,1:good,,0.951,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3
567,2:bad,2:bad,,0.75,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5
568,1:good,1:good,,0.974,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12
569,1:good,1:good,,0.974,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4
570,1:good,1:good,,0.951,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3
571,1:good,1:good,,0.951,6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6
572,1:good,1:good,,0.974,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12
573,2:bad,2:bad,,0.993,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2
574,2:bad,1:good,+,0.938,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6
575,1:good,1:good,,1,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7
576,2:bad,2:bad,,1,6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8
577,1:good,1:good,,1,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7
578,2:bad,2:bad,,0.683,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8
579,2:bad,2:bad,,0.683,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8
580,1:good,1:good,,1,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12
581,2:bad,2:bad,,1,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2
582,2:bad,2:bad,,1,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9
583,2:bad,2:bad,,1,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1
584,2:bad,2:bad,,1,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4
585,1:good,1:good,,0.8,7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1
586,1:good,2:bad,+,0.833,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8
587,2:bad,2:bad,,0.993,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4
588,1:good,1:good,,1,6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4
589,2:bad,2:bad,,0.993,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3
590,1:good,1:good,,0.971,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3
591,1:good,1:good,,1,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2
592,2:bad,2:bad,,1,6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5
593,2:bad,2:bad,,1,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9
594,2:bad,2:bad,,1,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2
595,2:bad,2:bad,,0.993,6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2
596,1:good,1:good,,0.857,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4
597,1:good,1:good,,0.857,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4
598,1:good,1:good,,1,6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1
599,2:bad,2:bad,,0.993,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5
600,1:good,1:good,,0.971,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4
601,2:bad,2:bad,,0.993,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3
602,2:bad,2:bad,,0.993,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1
603,2:bad,2:bad,,1,7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7
604,2:bad,2:bad,,0.993,7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7
605,1:good,1:good,,1,7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3
606,2:bad,2:bad,,1,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11
607,2:bad,2:bad,,1,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8
608,2:bad,2:bad,,1,7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7
609,2:bad,2:bad,,1,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7
610,2:bad,2:bad,,0.97,7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8
611,1:good,1:good,,0.857,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9
612,2:bad,2:bad,,0.683,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5
613,2:bad,2:bad,,1,6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10
614,2:bad,2:bad,,0.944,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4
615,2:bad,2:bad,,0.993,8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2
616,2:bad,2:bad,,1,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9
617,2:bad,2:bad,,0.727,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3
618,2:bad,2:bad,,1,9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3
619,2:bad,2:bad,,0.944,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4
620,2:bad,2:bad,,0.993,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10
621,2:bad,2:bad,,0.971,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9
622,2:bad,2:bad,,0.993,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7
623,1:good,1:good,,0.6,8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6
624,2:bad,2:bad,,0.933,7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4
625,2:bad,2:bad,,0.993,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5
626,2:bad,2:bad,,0.993,6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5
627,2:bad,2:bad,,1,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7
628,1:good,1:good,,1,7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1
629,1:good,1:good,,1,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6
630,1:good,1:good,,0.857,8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3
631,2:bad,2:bad,,1,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7
632,1:good,2:bad,+,0.75,8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9
633,2:bad,2:bad,,1,7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9
634,1:good,1:good,,0.951,6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7
635,2:bad,2:bad,,0.993,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10
636,2:bad,2:bad,,0.971,6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8
637,1:good,1:good,,0.938,6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9
638,1:good,1:good,,0.833,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1
639,2:bad,2:bad,,0.993,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6
640,1:good,1:good,,0.962,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2
641,1:good,1:good,,0.857,7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2
642,1:good,2:bad,+,0.683,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6
643,1:good,2:bad,+,0.882,8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6
644,2:bad,2:bad,,1,7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8
645,1:good,1:good,,0.962,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11
646,1:good,1:good,,0.833,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1
647,1:good,1:good,,0.951,5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14
648,2:bad,1:good,+,0.962,6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4
649,2:bad,2:bad,,1,7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7
650,2:bad,2:bad,,0.993,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6
651,1:good,1:good,,0.962,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5
652,1:good,1:good,,0.962,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2
653,1:good,1:good,,0.951,7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6
654,1:good,1:good,,0.951,6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6
655,2:bad,2:bad,,1,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3
656,1:good,1:good,,0.951,7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6
657,2:bad,2:bad,,0.683,7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7
658,2:bad,2:bad,,0.993,6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10
659,1:good,2:bad,+,0.683,7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4
660,2:bad,2:bad,,1,5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5
661,2:bad,2:bad,,0.993,8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7
662,2:bad,2:bad,,1,5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5
663,2:bad,2:bad,,0.993,6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9
664,1:good,1:good,,0.857,6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4
665,2:bad,2:bad,,1,9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8
666,2:bad,2:bad,,1,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9
667,1:good,1:good,,0.951,6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9
668,1:good,1:good,,0.974,6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12
669,2:bad,2:bad,,1,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5
670,1:good,1:good,,1,7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8
671,2:bad,2:bad,,0.889,6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1
672,2:bad,2:bad,,1,8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10
673,2:bad,2:bad,,1,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4
674,1:good,1:good,,0.951,6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3
675,1:good,1:good,,0.962,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7
676,2:bad,2:bad,,0.993,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5
677,2:bad,2:bad,,0.75,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5
678,2:bad,2:bad,,1,9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2
679,2:bad,2:bad,,0.993,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5
680,2:bad,2:bad,,0.683,7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5
681,2:bad,2:bad,,0.683,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5
682,2:bad,2:bad,,0.993,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9
683,2:bad,2:bad,,0.944,9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6
684,2:bad,2:bad,,0.993,8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5
685,2:bad,2:bad,,1,6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5
686,2:bad,2:bad,,0.993,6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9
687,2:bad,2:bad,,0.993,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9
688,2:bad,2:bad,,0.993,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4
689,2:bad,2:bad,,1,7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9
690,2:bad,2:bad,,0.75,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5
691,1:good,1:good,,0.971,6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2
692,2:bad,2:bad,,0.683,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4
693,2:bad,2:bad,,0.993,6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5
694,2:bad,2:bad,,1,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11
695,2:bad,2:bad,,0.993,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6
696,2:bad,2:bad,,1,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4
697,2:bad,2:bad,,1,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1
698,1:good,2:bad,+,0.993,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4
699,2:bad,2:bad,,0.993,9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2
700,2:bad,2:bad,,1,7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4
701,2:bad,2:bad,,0.993,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6
702,2:bad,2:bad,,1,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4
703,1:good,1:good,,0.951,7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8
704,2:bad,2:bad,,0.993,6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9
705,2:bad,2:bad,,0.993,7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3
706,1:good,1:good,,1,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1
707,2:bad,2:bad,,0.993,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6
708,1:good,1:good,,0.971,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7
709,1:good,1:good,,0.974,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1
710,1:good,1:good,,0.971,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7
711,1:good,1:good,,0.974,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1
712,1:good,1:good,,0.875,7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7
713,1:good,1:good,,0.875,7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8
714,2:bad,2:bad,,0.993,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9
715,2:bad,2:bad,,0.993,8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4
716,2:bad,2:bad,,0.993,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9
717,2:bad,2:bad,,0.993,7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7
718,2:bad,2:bad,,1,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6
719,1:good,2:bad,+,0.727,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7
720,2:bad,2:bad,,0.993,8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2
721,1:good,2:bad,+,0.75,7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1
722,1:good,2:bad,+,0.727,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7
723,1:good,1:good,,0.951,5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5
724,2:bad,2:bad,,1,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6
725,1:good,1:good,,0.951,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3
726,1:good,1:good,,0.951,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3
727,2:bad,2:bad,,0.683,6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5
728,2:bad,1:good,+,0.951,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4
729,1:good,1:good,,0.951,7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4
730,1:good,1:good,,0.951,7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6
731,2:bad,2:bad,,0.944,7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5
732,2:bad,2:bad,,0.75,7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9
733,1:good,1:good,,0.951,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5
734,2:bad,2:bad,,1,10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7
735,1:good,2:bad,+,0.683,7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6
736,1:good,1:good,,0.951,8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3
737,1:good,1:good,,0.951,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5
738,2:bad,2:bad,,0.993,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1
739,2:bad,2:bad,,0.97,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4
740,1:good,1:good,,1,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6
741,1:good,2:bad,+,0.683,7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8
742,2:bad,2:bad,,1,8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4
743,1:good,1:good,,1,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5
744,2:bad,2:bad,,1,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3
